feature,coefficient
DEST_STATE_ABR_ohe_DE,0
DEST_STATE_ABR_ohe_ME,0
DEST_STATE_ABR_ohe_MI,0
DEST_STATE_ABR_ohe_NH,0
DEST_STATE_ABR_ohe_OR,0
DEST_STATE_ABR_ohe_VA,0
DEST_STATE_ABR_ohe_VT,0
DEST_STATE_ABR_ohe_WV,0
MONTH_ohe_12,0
ORIGIN_STATE_ABR_ohe_AL,0
ORIGIN_STATE_ABR_ohe_CT,0
ORIGIN_STATE_ABR_ohe_DE,0
ORIGIN_STATE_ABR_ohe_ME,0
ORIGIN_STATE_ABR_ohe_MS,0
ORIGIN_STATE_ABR_ohe_MT,0
ORIGIN_STATE_ABR_ohe_NH,0
ORIGIN_STATE_ABR_ohe_SC,0
ORIGIN_STATE_ABR_ohe_VA,0
ORIGIN_STATE_ABR_ohe_VT,0
ORIGIN_STATE_ABR_ohe_WV,0
